MLS Number,Property Type,Status,Street Number,Street Name,Unit Number,City/Location,Zip Code,County,List Price,Close Price,Close Date,Area,Subdivision,Master Planned Community,Market Area,School District,School Elementary,School Middle,School High,Building SqFt,Price Sq Ft List,Price Sq Ft Sold,Lot Size,Acres,Price Acre List,Price Acre Sales,Year Built,Bedrooms,Baths Full,Baths Half,Baths Total,Room Count,Fireplaces Number,Stories,New Construction,New Construction Desc,Pool Private,No Of Garage Cap,Style,DOM,CDOM,List Office MLSID,List Office Name,List Agent MLSID,List Agent Full Name,Selling Office MLSID,Selling Office Name,Selling Agent MLSID,Selling Agent Full Name,Realist Owner Name,Last Change Timestamp,List Date 
99378964,Single-Family,Sold,2007,Arrowwood Ci,,Piney Point Village,77063,Harris,$3999999,$3900000,01/04/2010 12:00:00 AM,22,PINEY PT WOODS RP,,Memorial Villages,27 - Houston,EMERSON ELEMENTARY SCHOOL (HOUSTON),REVERE MIDDLE SCHOOL,WISDOM HIGH SCHOOL,9480,$421.94,$411.39,148570,,,,1984,5,7,1,7.1,14,2,4,False,,True,2,Other Style,170,170,WOLF01,"Beth Wolff, REALTORS",REJAIES,Shahla Rejaie,TRNR01,Martha Turner Sotheby's International Realty,CAINNAN,Mary Nan Cain,,,06/12/2009 12:00:00 AM
45300632,Single-Family,Sold,17,Hedwig,,Hedwig Village,77024,Harris,$3199000,$3075000,01/15/2010 12:00:00 AM,23,HEDWIG VILLAGE,,Memorial Villages,49 - Spring Branch,MEMORIAL DRIVE ELEMENTARY SCHOOL,SPRING BRANCH MIDDLE SCHOOL (SPRING BRANCH),MEMORIAL HIGH SCHOOL (SPRING BRANCH),7566,$422.81,$406.42,31198,,,,2009,5,5,2,5.2,15,3,2,True,To Be Built/Under Construction,True,3,Traditional,178,178,TRNR01,Martha Turner Sotheby's International Realty,SRICHARD,Suzann Richardson,TRNR01,Martha Turner Sotheby's International Realty,MURPHY,Janice Murphy,,,06/23/2009 12:00:00 AM
97380647,Single-Family,Sold,1124,River Glyn,,Houston,77063,Harris,$2199000,$2146500,01/15/2010 12:00:00 AM,22,RIVERBEND,,Memorial Villages,27 - Houston,BRIARGROVE ELEMENTARY SCHOOL,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,7548,$291.34,$284.38,17424,,,,2009,5,5,3,5.3,16,4,2,True,Never Lived In,False,3,Mediterranean,18,509,TRNR01,Martha Turner Sotheby's International Realty,SILVIAL,Silvia Lopez de Mesa,TRNR01,Martha Turner Sotheby's International Realty,RPYE,Rochelle Pye,,,11/06/2009 12:00:00 AM
72457328,Single-Family,Sold,327,Cowan,,Houston,77007,Harris,$2100000,$1999000,01/19/2010 12:00:00 AM,16,Crestwood,,Memorial Park,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),LAMAR HIGH SCHOOL (HOUSTON),5644,$372.08,$354.18,12276,,,,2004,4,4,2,4.2,13,2,2,False,,True,3,Mediterranean,5,5,BICE01,BICE & Associates,BICEPAUL,Paul Bice,TRNR01,Martha Turner Sotheby's International Realty,CCB,Cindy Burns,,,11/13/2009 12:00:00 AM
13415796,Single-Family,Sold,709,Kuhlman,,Houston,77024,Harris,$1975000,$1800000,01/28/2010 12:00:00 AM,23,MEMORIAL OAKS,,Memorial Villages,49 - Spring Branch,HUNTERS CREEK ELEMENTARY SCHOOL,SPRING BRANCH MIDDLE SCHOOL (SPRING BRANCH),MEMORIAL HIGH SCHOOL (SPRING BRANCH),5279,$374.12,$340.97,43568,,,,1985,5,4,2,4.2,14,3,2,False,,True,2,Traditional,199,199,DGTY01,"John Daugherty, REALTORS",LMUDD,Laura Mudd,DGTY01,"John Daugherty, REALTORS",SUSANMOR,Susan Morris-Chapman,,,04/27/2009 12:00:00 AM
5004718,Single-Family,Sold,828,Crestbend,,Houston,77042,Harris,$2175000,$1800000,01/19/2010 12:00:00 AM,22,RIVERCREST ESTATES,,Rivercrest,27 - Houston,WALNUT BEND ELEMENTARY SCHOOL (HOUSTON),REVERE MIDDLE SCHOOL,WESTSIDE HIGH SCHOOL,7836,$277.57,$229.71,130680,,,,1996,4,5,2,5.2,13,3,2,False,,True,3,Traditional,399,399,TRNR01,Martha Turner Sotheby's International Realty,BOSSS,Susan Boss,TBAH01,Buyer Agents Realty Home Buyer's Choice,pprasad,Dan Prasad,,,08/25/2008 12:00:00 AM
4122721,Single-Family,Sold,3019,Sunset,,Houston,77005,Harris,$1875000,$1775000,01/29/2010 12:00:00 AM,17,MONTICELLO,,West University/Southside Area,27 - Houston,WEST UNIVERSITY ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),6304,$297.43,$281.57,7875,,,,2006,4,4,1,4.1,13,2,3,False,,True,3,Other Style,301,301,GKPI01,Greenwood King Properties,BARDWELB,Bruce Bardwell,DGTY01,"John Daugherty, REALTORS",LOTZEN,Nancy Lotze,,,02/23/2009 12:00:00 AM
36494194,Single-Family,Sold,5335,Bordley,,Houston,77056,Harris,$1735000,$1602500,01/07/2010 12:00:00 AM,22,TANGLEWOOD 02,,Tanglewood Area,27 - Houston,BRIARGROVE ELEMENTARY SCHOOL,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,5648,$307.19,$283.73,13212,,,,1988,4,7,2,7.2,12,2,3,False,,True,2,Traditional,82,82,GKPI02,Greenwood King Properties,ABERCROP,Pama Abercrombie,DGTY01,"John Daugherty, REALTORS",AGATHAB,Agatha Brann,,,08/21/2009 12:00:00 AM
35308441,Single-Family,Sold,6350,Auden,,Southside Place,77005,Harris,$1290000,$1207500,01/19/2010 12:00:00 AM,17,SOUTHSIDE PLACE,,West University/Southside Area,27 - Houston,WEST UNIVERSITY ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),5541,$232.81,$217.92,8525,,,,1998,5,6,0,6,14,1,3,False,,True,2,Traditional,208,208,TRNR01,Martha Turner Sotheby's International Realty,LANCEC,Carol Lance,RMLY01,RE/MAX Integrity,DOWDYC,Tom Dowdy,,,05/22/2009 12:00:00 AM
2875856,Single-Family,Sold,11526,Raintree,,Houston,77024,Harris,$1375000,$1200000,01/15/2010 12:00:00 AM,23,Piney Point,,Memorial Villages,49 - Spring Branch,MEMORIAL DRIVE ELEMENTARY SCHOOL,SPRING BRANCH MIDDLE SCHOOL (SPRING BRANCH),MEMORIAL HIGH SCHOOL (SPRING BRANCH),2871,$35.71,$417.97,38500,,,,1956,4,3,0,3,11,1,1,False,,True,1,English,0,178,TRNR01,Martha Turner Sotheby's International Realty,BIGELOWC,Cynthia Bigelow,VTCR01,Tu Casa Realty,VALDESA,J. Armando Valdes,,,01/13/2010 12:00:00 AM
